Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
num params: 465968
[(0, 3), (1, 3), (2, 3), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  45, time= 79.7s | Train: skip eval | Valid: time=  0.9s loss=0.100, TAw acc= 96.7% |
| Epoch  46, time= 79.6s | Train: skip eval | Valid: time=  0.9s loss=0.045, TAw acc= 99.1% |
| Epoch  47, time= 80.2s | Train: skip eval | Valid: time=  0.9s loss=0.029, TAw acc= 99.1% |
| Epoch  48, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.040, TAw acc= 98.8% |
| Epoch  49, time= 79.5s | Train: skip eval | Valid: time=  0.9s loss=0.061, TAw acc= 98.4% |
| Epoch  50, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.053, TAw acc= 98.6% |
| Epoch  51, time= 79.6s | Train: skip eval | Valid: time=  0.8s loss=0.027, TAw acc= 99.2% |
| Epoch  52, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.033, TAw acc= 99.3% |
| Epoch  53, time= 78.4s | Train: skip eval | Valid: time=  0.9s loss=0.056, TAw acc= 98.8% |
| Epoch  54, time= 78.4s | Train: skip eval | Valid: time=  0.9s loss=0.055, TAw acc= 98.9% |
| Selected 207 train exemplars, time= 12.9s
self.logits length and one shape:  207 (9,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=11.474 | TAw acc= 80.4%, forg= 15.8%| TAg acc=  0.0%, forg= 96.2% <<<
>>> Test on task  1 : loss=5.226 | TAw acc= 79.1%, forg= 10.1%| TAg acc=  8.2%, forg= 81.1% <<<
>>> Test on task  2 : loss=0.060 | TAw acc= 98.5%, forg=  0.0%| TAg acc= 98.5%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organamnist/organamnist_der_fixd_cl_2
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 38.0s | Train: skip eval | Valid: time=  0.8s loss=1.901, TAw acc= 93.0% | *
| Epoch   2, time= 38.5s | Train: skip eval | Valid: time=  0.8s loss=0.580, TAw acc= 96.7% | *
| Epoch   3, time= 37.4s | Train: skip eval | Valid: time=  0.8s loss=0.635, TAw acc= 95.8% |
| Epoch   4, time= 36.7s | Train: skip eval | Valid: time=  0.8s loss=0.318, TAw acc= 97.7% | *
| Epoch   5, time= 38.3s | Train: skip eval | Valid: time=  0.8s loss=0.300, TAw acc= 98.3% | *
| Epoch   6, time= 38.1s | Train: skip eval | Valid: time=  0.8s loss=0.231, TAw acc= 98.5% | *
| Epoch   7, time= 37.7s | Train: skip eval | Valid: time=  0.8s loss=0.260, TAw acc= 98.6% |
| Epoch   8, time= 36.7s | Train: skip eval | Valid: time=  0.8s loss=0.264, TAw acc= 97.7% |
| Epoch   9, time= 38.4s | Train: skip eval | Valid: time=  0.8s loss=0.196, TAw acc= 97.6% | *
| Epoch  10, time= 37.6s | Train: skip eval | Valid: time=  0.8s loss=0.121, TAw acc= 98.8% | *
| Epoch  11, time= 38.2s | Train: skip eval | Valid: time=  0.8s loss=0.183, TAw acc= 98.8% |
| Epoch  12, time= 38.2s | Train: skip eval | Valid: time=  0.8s loss=0.146, TAw acc= 98.3% |
| Epoch  13, time= 38.4s | Train: skip eval | Valid: time=  0.8s loss=0.143, TAw acc= 98.2% |
| Epoch  14, time= 35.2s | Train: skip eval | Valid: time=  0.8s loss=0.133, TAw acc= 98.6% |
| Epoch  15, time= 38.1s | Train: skip eval | Valid: time=  0.8s loss=0.089, TAw acc= 98.9% | *
| Epoch  16, time= 37.6s | Train: skip eval | Valid: time=  0.8s loss=0.105, TAw acc= 98.8% |
| Epoch  17, time= 37.1s | Train: skip eval | Valid: time=  0.8s loss=0.102, TAw acc= 98.9% |
| Epoch  18, time= 31.7s | Train: skip eval | Valid: time=  0.6s loss=0.166, TAw acc= 98.5% |
| Epoch  19, time= 32.1s | Train: skip eval | Valid: time=  0.6s loss=0.107, TAw acc= 98.6% |
| Epoch  20, time= 29.4s | Train: skip eval | Valid: time=  0.6s loss=0.115, TAw acc= 98.3% |
| Epoch  21, time= 30.1s | Train: skip eval | Valid: time=  0.6s loss=0.108, TAw acc= 98.6% |
| Epoch  22, time= 33.2s | Train: skip eval | Valid: time=  0.8s loss=0.087, TAw acc= 99.4% | *
| Epoch  23, time= 37.9s | Train: skip eval | Valid: time=  0.8s loss=0.094, TAw acc= 99.2% |
| Epoch  24, time= 37.8s | Train: skip eval | Valid: time=  0.8s loss=0.097, TAw acc= 98.0% |
| Epoch  25, time= 36.9s | Train: skip eval | Valid: time=  0.8s loss=0.056, TAw acc= 99.2% | *
| Epoch  26, time= 38.3s | Train: skip eval | Valid: time=  0.8s loss=0.069, TAw acc= 99.2% |
| Epoch  27, time= 37.9s | Train: skip eval | Valid: time=  0.8s loss=0.042, TAw acc= 99.5% | *
| Epoch  28, time= 31.8s | Train: skip eval | Valid: time=  0.6s loss=0.081, TAw acc= 98.6% |
