Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 115, time= 13.3s | Train: skip eval | Valid: time=  0.1s loss=1.168, TAw acc=  0.0% |
| Epoch 116, time= 14.6s | Train: skip eval | Valid: time=  0.2s loss=1.035, TAw acc=  0.0% |
| Epoch 117, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.148, TAw acc=  0.0% |
| Epoch 118, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=1.099, TAw acc=  0.0% |
| Epoch 119, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=0.966, TAw acc=  0.0% |
| Epoch 120, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.187, TAw acc=  0.0% |
| Epoch 121, time= 13.1s | Train: skip eval | Valid: time=  0.1s loss=0.912, TAw acc=  0.0% |
| Epoch 122, time= 13.5s | Train: skip eval | Valid: time=  0.2s loss=1.053, TAw acc=  0.0% |
| Epoch 123, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=1.069, TAw acc=  0.0% |
| Epoch 124, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=0.880, TAw acc=  0.0% | *
| Epoch 125, time= 14.7s | Train: skip eval | Valid: time=  0.1s loss=0.991, TAw acc=  0.0% |
| Epoch 126, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=0.933, TAw acc=  0.0% |
| Epoch 127, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.014, TAw acc=  0.0% |
| Epoch 128, time= 14.7s | Train: skip eval | Valid: time=  0.2s loss=0.999, TAw acc=  0.0% |
| Epoch 129, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=0.907, TAw acc=  0.0% |
| Epoch 130, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=1.007, TAw acc=  0.0% |
| Epoch 131, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=0.996, TAw acc=  0.0% |
| Epoch 132, time= 15.2s | Train: skip eval | Valid: time=  0.2s loss=1.069, TAw acc=  0.0% |
| Epoch 133, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=1.026, TAw acc=  0.0% |
